Título atribuído	Outras remetências de título:	Categorias	Material original	Ano	País	Cidade	Estado	Sinopse	Termos descritores	Descritores secundários	Termos geográficos	Produção	Conteúdo examinado	Fontes utilizadas:	Fontes consultadas:	Observações:
CINE JORNAL BRASILEIRO. V.4, N.020	CINE JORNAL BRASILEIRO. 4x20	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 330m, 24q	1945	BR	Rio de Janeiro	DF	"Sinfonia do Trabalho."	Trabalho			Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II JIMS/OESP		
CINE JORNAL BRASILEIRO. V.4, N.021	CINE JORNAL BRASILEIRO. 4x21	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 275m, 24q	1945	BR	Rio de Janeiro	DF	"De Joazeiro à Pirapora: Momentos e impressões de viagem ao longo de um dos trechos mais interessantes do Rio São Francisco."	Rio		Rio São Francisco, Juazeiro - BA; Rio São Francisco, Pirapora - BA	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo a cópia.
CINE JORNAL BRASILEIRO. V.4, N.022	CINE JORNAL BRASILEIRO. 4x22	Cinejornal / Sonoro / Não ficção	35mm, BP, 8min, 235m, 24q	1945	BR	Rio de Janeiro	DF	"No Palácio Rio Negro - Petrópolis: A Missão Cultural Francesa em visita ao presidente da República." "Polônia Subterrânea - Rio: Inaugura-se uma exposição alusiva ao sacrifìcio e ao heroísmo do povo polonês sob a ocupação germânica."	Visita Estrangeira - FR; Exposição; Guerra Mundial, 2; Iatismo; Primeiro de Maio; Manifestação; Trabalho	Palácio Rio Negro, Petrópolis - DF; Missao Cultural Francesa; FR; Exposiçao-Resistência Polonesa; FEB - Força Expedicionaria Brasileira; Dia do Trabalho; Ministério do Trabalho; Galeria Getulio Vargas; Restaurante-Ministério do Trabalho; Estádio do Vasco da Gama, Rio de Janeiro - DF	Rio de Janeiro - DF; Ilha de Brocoió, Rio de Janeiro - DF; Enseada de Botafogo, Rio de Janeiro - DF; São Januario, Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certamente distribuído pela Cooperativa Cinematografica Brasileira, embora as fontes não informem. O som foi processado no laboratório da <Sonofilmes> S/A.
CINE JORNAL BRASILEIRO. V.4, N.023	CINE JORNAL BRASILEIRO. 4x23	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 300m, 24q	1945	BR	Rio de Janeiro	DF	"Em Petrópolis: O presidente Getúlio Vargas inaugura novos melhoramentos no quartel do 1o. Batalhão de Caçadores." "Novos Valores para a FAB: Graduação de Especialistas de Aeronáutica."	Governo Federal; Exército; Ensino; Aeronáutica; Igreja Católica; Páscoa; Visita Estrangeira - US; Guerra Mundial, 2	Batalhão de Caçadores, 1; FAB - Força Aérea Brasileira; Força Aérea - US; Dia da Vitória; Campo de Santana, Rio de Janeiro - DF	Petrópolis - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		O som foi processado no laboratório da <Sonofilmes> S/A. A cópia indica produçao do <DIP> - <Departamento de Imprensa e Propaganda>, o que é incorreto.
CINE JORNAL BRASILEIRO. V.4, N.024	CINE JORNAL BRASILEIRO. 4x24; A FAB E A VITÓRIA	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 310m, 24q	1945	BR	Rio de Janeiro	DF	"Contribuição da FAB para a Vitória."	Aeronáutica; Guerra Mundial, 2	FAB - Força Aérea Brasileira		Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		JIMS/OESP indica que o título <FAB E A VITÓRIA, A> provavelmente é igual ao CJ BRASILEIRO. V.4, N.024. Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>; o som foi processado no laboratório da <Sonofilms> S.A., segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.025	CINE JORNAL BRASILEIRO. 4x25	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 268m, 24q	1945	BR	Rio de Janeiro	DF	"No Itamarati - Rio: Homenagem oficial do Brasil ao Presidente Roosevelt." "No Museu Nacional de Belas Artes - Rio: Exposição do pintor brasileiro Osvaldo Silva."	Morte; Exposição; Pintura; Ensino; Agricultura; Visita Estrangeira - FR; Mulher; Hospital; Guerra Mundial, 2; Pesca; Igreja Católica	Palácio do Itamarati, Rio de Janeiro - DF; Museu Nacional de Belas Artes, Rio de Janeiro - DF; Escola Nacional de Agronomia; FR; Hospital Central do Exército; FEB - Força Expedicionaria Brasileira; Sururu; Te-Deum da Vitória; Igreja da Candelaria, Rio de Janeiro - DF	Rio de Janeiro - DF; Santa Cruz - DF; Maceió - AL	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		O certificado de censura foi estabelecido a partir da cópia. Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo a cópia.
CINE JORNAL BRASILEIRO. V.4, N.026	CINE JORNAL BRASILEIRO. 4x26	Cinejornal / Sonoro / Não ficção	35mm, BP, 14min, 385m, 24q	1945	BR	Rio de Janeiro	DF	"Os Brasileiros assaltam a fortaleza européia."	Exército; Guerra Mundial, 2	FEB - Força Expedicionaria Brasileira	Monte Castelo - IT	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		
CINE JORNAL BRASILEIRO. V.4, N.027	CINE JORNAL BRASILEIRO. 4x27	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 250m, 24q	1945	BR	Rio de Janeiro	DF	"No Palácio do Catete - Rio: Credenciais do novo embaixador da Bélgica." "Serviço Militar - Rio: Na Quinta da Boa Vista conscritos cariocas prestam compromisso."	Diplomacia - BE; Exército; Dança; Governo Federal; Trabalho; Biblioteca; Sindicato; Solenidade; Exposição; Habitação; Obra Pública; Guerra Mundial, 2	Palácio do Catete, Rio de Janeiro - DF; BE; Palácio do Itamarati, Rio de Janeiro - DF; Ministério do Trabalho; Exposição Barão do Rio Branco; Barao do Rio Branco; FEB - Força Expedicionaria Brasileira	Quinta da Boa Vista, Rio de Janeiro - DF; Vila Comerciaria, Rio de Janeiro - DF; Cais do Porto, Rio de Janeiro - DF; Jardim Zoológico, Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	CENS/II JIMS/OESP		O som foi processado no laboratório da <Sonofilmes> S/A, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.028	CINE JORNAL BRASILEIRO. 4x28	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 280m, 24q	1945	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		Certamente distribuido pela Cooperativa Cinematografica Brasileira, embora as fontes não informem. O som foi processado no laboratório da <Sonofilmes> S/A.
CINE JORNAL BRASILEIRO. V.4, N.029	CINE JORNAL BRASILEIRO. 4x29	Cinejornal / Sonoro / Não ficção	35mm, BP, 250m, 24q	1945	BR	Rio de Janeiro	DF	"À Sombra dos coqueirais alagoanos."	Maceió - AL			Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		
CINE JORNAL BRASILEIRO. V.4, N.030	CINE JORNAL BRASILEIRO. 4x30	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 280m, 24q	1945	BR	Rio de Janeiro	DF	"Na Ilha de Santa Barbara - Rio: O presidente Getúlio Vargas inaugura melhoramentos no serviço aduaneiro da capital do país."	Obra Pública; Presídio; Hospital; Efeméride; Condecoração; Marinha; Guerra Mundial, 2; Ensino; Exército	Alfândega do Rio de Janeiro - DF; Penitenciaria Agrícola - PE; Casa Maternal Melo Matos; Dia de Barroso; Escola Naval; Monumento Almirante Barroso, Rio de Janeiro - DF	Ilha de Santa Bárbara, Rio de Janeiro - DF; Ilha de Itamaracá - PE	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		Produzido pelo Departamento de Imprensa e Propaganda segundo CNT, o que é incorreto.
CINE JORNAL BRASILEIRO. V.4, N.031	CINE JORNAL BRASILEIRO. 4x31	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 300m, 24q	1945	BR	Rio de Janeiro	DF	"No Palácio do Catete - Rio: Entrega credenciais o Ministro do Egito, sr. Rouston Bey." "Nota Religiosa - Rio: Realiza-se com grande imponência a Páscoa dos Operários."	Diplomacia - EG; Páscoa; Igreja Católica; Obra Pública; Embarcação; Guerra Mundial, 2; Solenidade; Música; Exército; Ensino; Diplomacia - PT; Condecoração	Palácio do Catete, Rio de Janeiro - DF; Marinha Mercante; Regimento de Infantaria, 3; FEB - Força Expedicionária Brasileira; Museu Histórico Nacional, Rio de Janeiro - DF; Escola Militar de Resende - DF; Praça Monte Castelo, Niterói - DF		Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II	JMC/PCP	
CINE JORNAL BRASILEIRO. V.4, N.032	CINE JORNAL BRASILEIRO. 4x32	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 257m, 24q	1945	BR	Rio de Janeiro	DF	"Confraternização Argentino-Brasileira - Buenos Aires: Uma solenidade reúne os embaixadores Batista Luzardo e Nicolas Accame." "Homenagem à cantora Carmen Gomes - Rio: Festejam-na os coros líricos do Teatro Municipal."	Diplomacia - AR; Música Popular; Exposição; Pintura; Exército; Eleição; Campanha	Casa Rosada, Buenos Aires - AR; Teatro Municipal do Rio de Janeiro - DF; FR; Galeria Montparnasse; US; Palácio do Catete, Rio de Janeiro - DF; PSD - Partido Social Democrático	Buenos Aires - AR; Ilha de Paquetá, Rio de Janeiro - DF; Itapoã - BA; Vitória - ES; Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/I		Segundo JIMS/OESP, "pela ordem de apresentaçao C.J.B.Vol IV No.32". O certificado de censura foi estabelecido a partir da cópia.
CINE JORNAL BRASILEIRO. V.4, N.033	CINE JORNAL BRASILEIRO. 4x33; EDIÇÃO ESPECIAL	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 255m, 24q	1945	BR	Rio de Janeiro	DF	"Sobre a Terra dos Chavantes: Afim de apreciar as atividades da Fundação Brasil Central o presidente da República realiza uma excursão que se extende até o Rio das Mortes."	Indío; Fundação Brasil Central; Governo Federal	Companhia Aérea Cruzeiro do Sul; Avião Pagé; Xavantes; Região Centro-Oeste	Rio das Mortes	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		Produzidas 6 cópias, segundo a fonte CIN.
CINE JORNAL BRASILEIRO. V.4, N.034	CINE JORNAL BRASILEIRO. 4x34	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 255m, 24q	1945	BR	Rio de Janeiro	DF	"A Serviço do Bem - Rio: Religiosas condecoradas com a Ordem Nacional do Cruzeiro do Sul." "Promovidos por Merecimento - Rio: Apresentação de oficiais ao presidente da República no Palácio do Catete."	Igreja Católica; Condecoração; Exército; Aviação; Aeronáutica; Visita Estrangeira - US; Solenidade; Hospital	Irmas de Caridade; Ordem do Cruzeiro do Sul; Palácio do Catete, Rio de Janeiro - DF; Avião Pracinha; Avião Tenente Marcio Pinto; FEB - Força Expedicionaria Brasileira; Marinha - US; Aeroporto Santos Dumont, Rio de Janeiro - DF; Hospital da Santa Casa de Misericórdia, Santos - DF	Rio de Janeiro - DF; Santos - SP	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		
CINE JORNAL BRASILEIRO. V.4, N.035	CINE JORNAL BRASILEIRO. 4x35	Cinejornal / Sonoro / Não ficção	35mm, BP, 8min, 226m, 24q	1945	BR	Rio de Janeiro	DF	"Seu Pai Foi um Herói - Rio: Entrega de condecorações no Palácio Tiradentes." "Almirante Jonas H. Ingram - Rio: A Marinha despede-se deste grande amigo do Brasil."	Condecoração; Guerra Mundial, 2; Visita Estrangeira - US; Marinha; Exército; Hospital; Solenidade; Juventude; Partido Político; Ferrovia	Palácio Tiradentes, Rio de Janeiro - DF; Marinha - US; FEB - Força Expedicionária Brasileira; Hospital Central do Exército; Colégio Pedro II, Rio de Janeiro - DF; Teatro Municipal do Rio de Janeiro - DF; PSD - Partido Social Democratico; Estrada de Ferro Central do Brasil	Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		Revelado e copiado nos laboratórios da <FAN> - Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN. ^aProduzidas 7 cópias, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.036	CINE JORNAL BRASILEIRO. 4x36; CHEGADA DO PRIMEIRO ESCALÃO DA FEB; REGRESSO TRIUNFAL DOS COMBATENTES DO BRASIL	Cinejornal / Sonoro / Não ficção	35mm, BP, 17min, 480m, 24q	1945	BR	Rio de Janeiro	DF	"No Min. da Guerra o Gen. M. Morais." "O Gal. Mascarenhas desfila pela avenida Rio Branco."	Guerra Mundial, 2; Exército; Aeronáutica; Embarcação	Palácio da Guerra, Rio de Janeiro - DF; FEB - Força Expedicionaria Brasileira; FAB - Força Aérea Brasileira; IT; General Meighs - embarcação	Rio de Janeiro - DF; Avenida Rio Branco, Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN. Produzidas 16 cópias, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.037	CINE JORNAL BRASILEIRO. 4x37	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 270m, 24q	1945	BR	Rio de Janeiro	DF	"Gloriosas Condecorações - Rio: Distribuídas pelos generais Clark e Dutra, no Forte Duque de Caxias." "A Argentina ao Brasil - Rio: Ofertada ao nosso Exército a bandeira da nação amiga."	Condecoração; Exército; Solenidade; Hipismo; Visita Estrangeira - UK; Concurso; Exposição; Funcionalismo Público	Forte Duque de Caxias; AR; Palácio da Guerra, Rio de Janeiro - DF; Semana Hípica Internacional; Hotel Quitandinha, Petrópolis - DF; Aeroporto Santos Dumont, Rio de Janeiro - DF; RAF - Royal Air Force; GB; Departamento Administrativo do Serviço Público, Rio de Janeiro - DF; DASP - Departamento Administrativo do Serviço Público	Rio de Janeiro - DF; Petrópolis - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN. ^aProduzidas 7 cópias, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.038	CINE JORNAL BRASILEIRO. 4x38	Cinejornal / Sonoro / Não ficção	35mm, BP, 8min, 235m, 24q	1945	BR	Rio de Janeiro	DF	"O Mal. Harris no Palácio do Catete." "Remessa de dádivas particulares para as populações francesas."	Visita Estrangeira - UK; Assistência Social; Solenidade; Ensino; Governo Federal; Iatismo; Exposição; Artes Plásticas; Golfe	Palácio do Catete, Rio de Janeiro - DF; Escola Nacional de Educaçao Física, Rio de Janeiro - DF; FR; Ministério da Fazenda; Campeonato de Regatas, 4; Campeonato Internacional de Golf	Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN. Produzidas 7 cópias, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.039	CINE JORNAL BRASILEIRO. 4 x 39	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 293m, 24q	1945	BR	Rio de Janeiro	DF	"Marechal Sir Artur Harris - Rio: A Escola de Aeronáutica recebe a visita do Comandante em Chefe dos Bombardeiros da RAF." "De Regresso à Pátria - Rio: A Chegada de mais um contingente da Força Aérea Brasileira."	Visita Estrangeira - UK; Aeronáutica; Solenidade; Turfe; Visita Estrangeira - US	Escola de aeronautica; RAF - Royal Air Force; FAB - Força Aérea Brasileira; Túmulo de Santos Dumont, Rio de Janeiro - DF; Dumont, Alberto Santos; Jockey Clube, Rio de Janeiro - DF; Grande Prêmio Brasil; Cavalo Filon; Palácio do Catete, Rio de Janeiro - DF; Força Aérea - US	Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CB/FB		Produzidas 7 cópias, segundo Arquivo Nacional/AN. Arquivo Nacional/AN considera o segundo assunto como relativo a <FEB> e não apresenta a chegada dos generais americanos (quinto assunto).
CINE JORNAL BRASILEIRO. V.4, N.040	CINE JORNAL BRASILEIRO. 4x40	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 311m, 24q	1945	BR	Rio de Janeiro	DF	"No Alto do Corcovado - Rio: Obras de embelezamento do local são visitadas pelo presidente da República." "Movimento Artístico - Rio: Inaugura-se, na associação Brasileira de Imprensa, a Primeira Exposição de Arte Viva."	Urbanismo; Exposição; Pintura; Diplomacia - AU; Governo Federal; Condecoração; Aeronáutica; Visita Estrangeira - US; Guerra Mundial, 2; Exército	ABI - Associação Brasileira de Imprensa, Rio de Janeiro - DF; Exposição de Arte Viva, 1; AU; FAB - Força Aérea Brasileira; Palácio do Catete, Rio de Janeiro - DF; Campo dos Afonsos; US; Ordem do Mérito Aeronáutico; FEB - Força Expedicionaria Brasileira; IT; Escola Militar de Resende - DF	Alto do Corcovado, Rio de Janeiro - DF; Cristo Redentor, Rio de Janeiro - DF; Santa Cruz - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN. Produzidas 7 cópias, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.041	CINE JORNAL BRASILEIRO. 4x41	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 280m, 24q	1945	BR	Rio de Janeiro	DF	"1a. Semana Brasileira anti-Tuberculose."	Saúde; Medicina	Semana Brasileira Anti-Tuberculose, 1; Tuberculose	Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II Arquivo Nacional/AN		Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>. Produzidas 7 cópias, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.042	CINE JORNAL BRASILEIRO. 4x42	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 294m, 24q	1945	BR	Rio de Janeiro	DF	"Semana da Pátria - Rio: A chegada do fogo simbólico, procedente de Monte Castelo." "Pela Saúde do Brasil - Juiz de Fora: Visita ao preventório para os filhos dos hansenianos."	Efeméride; Hospital; Solenidade; OBra Pública; Exército	Semana da Pátria; Fogo Simbólico; Educandário Carlos Chagas; Palácio da Guerra, Rio de Janeiro - DF; Polígono de Tiro da Marambaia	Avenida Rio Branco, Rio de Janeiro - DF; Juiz de Fora - MG; Marambaia - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN. Produzidas 7 cópias, segundo Arquivo Nacional/AN. A fonte ainda informa que o cinejornal teria ainda um assunto sobre atletismo que não consta desta negativo.
CINE JORNAL BRASILEIRO. V.4, N.043	CINE JORNAL BRASILEIRO. 4x43	Cinejornal / Sonoro / Não ficção	35mm, BP, 8min, 238m, 24q	1945	BR	Rio de Janeiro	DF	"Cachoeira de Paulo Afonso."	Cachoeira de Paulo Afonso - BA		Rio São Francisco	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		Revelado e copiado nos laboratòrios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN. Produzidas 7 cópias, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.044	CINE JORNAL BRASILEIRO. 4x44; EDIÇÃO ESPECIAL	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 240m, 24q	1945	BR	Rio de Janeiro	DF	"Chegada do 2o.Escalão da FEB."	Exército	FEB - Força Expedicionária Brasileira; Escalão, 2	Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		Produzido pelo <DIP> - <Departamento de Imprensa e Propaganda>, segundo JIMS/OESP, o que é incorreto. Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.045	CINE JORNAL BRASILEIRO. 4x45	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 272m, 24q	1945	BR	Rio de Janeiro	DF	"Dia do Soldado - Rio: Homenagem a Caxias e entrega de condecorações da Ordem do Mérito Militar." "FAB e RAF - Rio: A convite oficial voam para Londres o Ministro da Aeronáutica e aviadores brasileiros."	Condecoração; Exército; Solenidade; Ferrovia; Trabalho; Campanha; Saúde	Monumentos ao Duque de Caxias, Rio de Janeiro - DF; Dia do Soldado; Ordem do Mérito Militar; Duque de Caxias; FAB - Força Aérea Brasileira; RAF - Royal Air Force; Londres - GB; DASP - Departamento Administrativo do Serviço Público, Rio de Janeiro - DF; Exposição Sistema do Mérito; Tuberculose; Forte Duque de Caxias; FR	Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN. Produzidas 7 cópias, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.046	CINE JORNAL BRASILEIRO. 4x46	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 290m, 24q	1945	BR	Rio de Janeiro	DF	"Exéquias - Rio: Na Igreja da Candelária pelos expedicionários mortos na Itália." "Base Aérea de Santa Cruz - Rio: A América do Norte cumpre com a sua palavra, entregando-a ao Brasil."	Igreja Católica; Morte; Exército; Guerra Mundial, 2; Aeronáutica; Eleição; Solenidade; Telecomunicação; Efeméride	Igreja da Candelária, Rio de Janeiro - DF; FEB - Força Expedicionaria Brasileira; Base Aérea de Santa Cruz; FAB - Força Aérea Brasileira; US; Marinha; Palácio Guanabara, Rio de Janeiro - DF; Palácio da Guerra, Rio de Janeiro - DF; Queremismo; PT; Conferência Internacional de Telecomunicações, 3; Semana da Pátria; Polícia Especial do Distrito Federal; Palácio do Itamarati, Rio de Janeiro - DF; Biblioteca Nacional, Rio de Janeiro - DF; Instituto de Educação do Distrito Federal, Rio de Janeiro - DF; Escola Nacional de Educação Física, Rio de Janeiro - DF; Cemitério de Pistóia - IT	Largo da Carioca, Rio de Janeiro - DF; Praça da República, Rio de Janeiro - DF; Avenida Rio Branco, Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II	JMC/PCP	Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN. Produzidas 7 cópias, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.047	CINE JORNAL BRASILEIRO. 4x47	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 315m, 24q	1945	BR	Rio de Janeiro	DF	"Parada de 7 de Setembro."	Sete de Setembro; Exército		Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		A fonte JIMS/OESP indica que "pela ordem C.J.B. VOl IV No.47". Distribuído pela Cooperativa Cinematografica Brasileira, segundo a mesma fonte. Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.048	CINE JORNAL BRASILEIRO. 4x48; EDIÇÃO ESPECIAL	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 243m, 24q	1945	BR	Rio de Janeiro	DF	"Hora da Independência: Grande concentração cívica realiza-se no Estádio de São Januario, encerrando as comemorações da Semana da Pátria."	Sete de Setembro; Manifestação; MUT - Movimento Unificado dos Trabalhadores	Estádio do Vasco da Gama, Rio de Janeiro - DF	Rio de Janeiro - DF; São Januário, Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CB/FB		Data de censura provavel, pois as fontes não informam. Revelado e copiado nos laboratórios da <FAN> - <Filmes Artísticos Nacionais>, segundo Arquivo Nacional/AN.
CINE JORNAL BRASILEIRO. V.4, N.049	CINE JORNAL BRASILEIRO. 4x49	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 243m, 24q	1945	BR	Rio de Janeiro	DF	"Chegada do 3o. Escalão da Força Expedicionária Brasileira."	Exército; Guerra Mundial, 2	FEB - Força Expedicionaria Brasileira; Escalao, 3	Rio de Janeiro - DF	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		Distribuído pela DFB, segundo a fonte JIMS/OESP.
CINE JORNAL BRASILEIRO. V.4, N.050	CINE JORNAL BRASILEIRO. 4x50	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 248m, 24q	1945	BR	Rio de Janeiro	DF	"Palácio do Catete - Rio: Apresenta credenciais o novo embaixador da República Dominicana." "Exposição Canina - Rio: O Brasil Kennel Clube promove-a no local da Sociedade Hípica Brasileira."	Diplomacia - DO; Exposição; Animal; Comício; Embarcação; Guerra Mundial, 2; Solenidade; Teatro	Palácio do Catete, Rio de Janeiro - DF; DO; Conferência Interamericana de Telecomunicações, 3; Brasil Kennel Clube, Rio de Janeiro - DF; Cachorro; Sociedade Hípica Brasileira; Palácio da Cultura, Rio de Janeiro - DF; FR; PSD - Partido Social Democratico; US; DE; Submarino; Bahia - embarcação; Teatro Municipal do Rio de Janeiro - DF; Semana do Teatro	Rio de Janeiro - DF; Barra do Piraí - RJ; Baía da Guanabara	Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	S	Material examinado CENS/II		
CINE JORNAL BRASILEIRO. V.4, N.051	CINE JORNAL BRASILEIRO. 4x51	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 256m, 24q	1945	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		Distribuído pela <DFB> - Distribuidora de Filmes Brasileiros, segundo a fonte JIMS/OESP.
CINE JORNAL BRASILEIRO. V.4, N.052	CINE JORNAL BRASILEIRO. 4x52	Cinejornal / Sonoro / Não ficção	35mm, BP, 7min, 220m, 24q	1945	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DNI - Departamento Nacional de Informações	N	CENS/II JIMS/OESP		
